Main Image Size (Width x Height in Pixels):,2767,x,2475
Mosaic Size (Width x Height in Pixels):,6381,x,5708
Tiles with a image:,460
Tiles without a image:,0
Unique number of images used as tiles:,80
Average Tile Quality:,83.13%,Score:,3877744
Best Tile Quality:,100.00%,Score:,228659
Worst Tile Quality:,0.00%,Score:,21853823
How much can I modify every tile:,47%
Minimum distance between duplicate tiles:,1
Minimum distance between sequences:,0
Algorithm:,High Quality
Pattern:,Square
Adapt Tile/Mosaic size:,Adapt Tile
Multiple Tile Size 1/2:,0%
Multiple Tile Size 1/4:,0%
Tile Area Priority:,CENTER_WIDE
Tile Size Priority:,AUTO
Tile Split:,AUTO
MaskFile:,
Pixels x Inch PPI:500.000000

Left,Top,Width,Height,Size KPixels,Image,ImageID/Sequence,Tile Quality,Tile Priority,Score,Used Count,Tile#,Image#
278,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\An officer threatening to use force at a Harlem riot in 1964..jpeg",0,94.03%,100%,1520284,6,25,55
556,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\An officer threatening to use force at a Harlem riot in 1964..jpeg",0,94.27%,100%,1468481,6,26,55
834,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\An officer threatening to use force at a Harlem riot in 1964..jpeg",0,94.64%,100%,1387484,6,27,55
1112,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\An officer threatening to use force at a Harlem riot in 1964..jpeg",0,94.83%,100%,1347071,6,28,55
1390,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting the devastation of the New Orleans Massacre of 1866..jpg",0,91.76%,100%,2010095,6,29,4
1668,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\President Lyndon B. Johnson shakes hands with civil rights leader Martin Luther King Jr. after signing the Civil Rights Act of 1964..jpg",0,90.65%,100%,2250647,6,30,62
1946,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\President Lyndon B. Johnson shakes hands with civil rights leader Martin Luther King Jr. after signing the Civil Rights Act of 1964..jpg",0,90.80%,100%,2217240,6,31,62
2224,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\President Lyndon B. Johnson shakes hands with civil rights leader Martin Luther King Jr. after signing the Civil Rights Act of 1964..jpg",0,91.22%,100%,2127888,6,32,62
2502,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\On March 29, 1968 in Memphis, U.S. National Guard troops faced off with Civil Rights marchers..jpg",0,88.98%,100%,2612478,6,33,24
2780,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\On March 29, 1968 in Memphis, U.S. National Guard troops faced off with Civil Rights marchers..jpg",0,89.06%,100%,2593379,6,34,24
3058,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting Cincinnati Race Riots of 1836..jpg",0,93.57%,100%,1618579,6,35,19
3336,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Dr. Charles Atkins and family look at the Sante Fe Depot sign requiring racial segregation in Oklahoma City, Oklahoma, 1955..jpg",0,81.68%,100%,4190452,6,36,2
3614,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\A mob beats Freedom Riders who've arrived at the bus station in Birmingham, Alabama. May 1961..jpg",0,90.62%,100%,2256487,6,37,57
3892,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting Camilla Massacre of 1868..jpg",0,94.26%,100%,1470551,6,38,21
4170,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Protesters march outside of the courthouse during the trial of New York City Police Officer Thomas Shea, who shot Clifford Glover, 10, and was acquitted in New York, June 12, 1974..jpg",0,90.50%,100%,2282592,6,39,61
4448,286,277,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Protesters take part in the civil disobedience campaign, in June 1952, in Johannesburg, by occupying places for white people..jpg",0,99.14%,100%,413846,6,40,67
4725,286,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Police K-9 units being deployed to manage crowds of protesters during the Birmingham Campaign of the civil rights movement in May 1963..jpg",0,95.26%,100%,1253565,6,41,31
5001,286,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Protesters march outside of the courthouse during the trial of New York City Police Officer Thomas Shea, who shot Clifford Glover, 10, and was acquitted in New York, June 12, 1974..jpg",0,90.06%,100%,2378562,6,42,61
5277,286,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\On March 29, 1968 in Memphis, U.S. National Guard troops faced off with Civil Rights marchers..jpg",0,88.78%,100%,2655324,6,43,24
5553,286,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Protesters march outside of the courthouse during the trial of New York City Police Officer Thomas Shea, who shot Clifford Glover, 10, and was acquitted in New York, June 12, 1974..jpg",0,89.67%,100%,2461546,6,44,61
5829,286,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\President Lyndon B. Johnson shakes hands with civil rights leader Martin Luther King Jr. after signing the Civil Rights Act of 1964..jpg",0,90.68%,100%,2243701,6,45,62
6105,286,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\A police dog attacks an African-American protester during an anti-segregation demonstration in Birmingham, Alabama on May 4, 1963..jpg",0,77.21%,60%,5156700,6,46,78
0,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\A police dog attacks an African-American protester during an anti-segregation demonstration in Birmingham, Alabama on May 4, 1963..jpg",0,75.82%,60%,5457459,6,47,78
278,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\An officer threatening to use force at a Harlem riot in 1964..jpeg",0,95.04%,100%,1302000,6,48,55
556,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\President Lyndon B. Johnson shakes hands with civil rights leader Martin Luther King Jr. after signing the Civil Rights Act of 1964..jpg",0,90.85%,100%,2206752,6,49,62
834,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\On March 29, 1968 in Memphis, U.S. National Guard troops faced off with Civil Rights marchers..jpg",0,88.82%,100%,2646360,6,50,24
1112,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting African Americans being attacked during the Memphis Race Riots of 1866..jpg",0,93.42%,100%,1650847,6,51,17
1390,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\On March 29, 1968 in Memphis, U.S. National Guard troops faced off with Civil Rights marchers..jpg",0,89.88%,100%,2417151,6,52,24
1668,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Scene from the New York City Race Riot of 1900..jpg",0,87.32%,100%,2970617,6,53,76
1946,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Scene from the New York City Race Riot of 1900..jpg",0,87.63%,100%,2903571,6,54,76
2224,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Police subdue a man during the Watts riots in Los Angeles. August 1965..jpg",0,88.94%,100%,2621235,6,55,32
2502,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting Cincinnati Race Riots of 1836..jpg",0,93.85%,100%,1559422,6,56,19
2780,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting Camilla Massacre of 1868..jpg",0,96.35%,100%,1018012,6,57,21
3058,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Demonstrators hold signs and join hands during the March on Washington on August 28, 1963..jpg",0,97.55%,100%,758041,6,58,51
3336,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Dr. Charles Atkins and family look at the Sante Fe Depot sign requiring racial segregation in Oklahoma City, Oklahoma, 1955..jpg",0,81.40%,100%,4251167,6,59,2
3614,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Two terrified African-American girls flee police officers during a race riot in the Bedford-Stuyvesant neighborhood of Brooklyn on July 21, 1964..jpg",0,64.66%,100%,7871898,6,60,66
3892,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Demonstrators hold signs and join hands during the March on Washington on August 28, 1963..jpg",0,95.13%,100%,1281509,6,61,51
4170,572,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Scene from the New York City Race Riot of 1900..jpg",0,88.34%,100%,2750567,6,62,76
4448,572,277,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Forming of the NAACP in the early 20th century..jpg",0,85.88%,100%,3282834,6,63,18
4725,572,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting Cincinnati Race Riots of 1836..jpg",0,94.17%,100%,1490273,6,64,19
5001,572,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Scene from the New York City Race Riot of 1900..jpg",0,88.16%,100%,2788525,6,65,76
5277,572,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting 1906 Atlanta Race Massacre..jpg",0,94.14%,100%,1496831,6,66,8
5553,572,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Demonstrators hold signs and join hands during the March on Washington on August 28, 1963..jpg",0,94.46%,100%,1425621,6,67,51
5829,572,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Protesters march outside of the courthouse during the trial of New York City Police Officer Thomas Shea, who shot Clifford Glover, 10, and was acquitted in New York, June 12, 1974..jpg",0,91.33%,100%,2103538,6,68,61
6105,572,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Demonstrators rally in support of jailed civil rights leader Wally Nelson. Location unspecified. Circa 1965..jpg",0,86.34%,60%,3182616,6,69,53
0,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Demonstrators rally in support of jailed civil rights leader Wally Nelson. Location unspecified. Circa 1965..jpg",0,85.18%,60%,3434329,6,70,53
278,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting African Americans being attacked during the Memphis Race Riots of 1866..jpg",0,93.63%,100%,1606140,6,71,17
556,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting African Americans being attacked during the Memphis Race Riots of 1866..jpg",0,94.00%,100%,1526484,6,72,17
834,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting African Americans being attacked during the Memphis Race Riots of 1866..jpg",0,94.25%,100%,1471626,6,73,17
1112,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Police subdue a man during the Watts riots in Los Angeles. August 1965..jpg",0,89.62%,100%,2473852,6,74,32
1390,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Scene from the New York City Race Riot of 1900..jpg",0,88.96%,100%,2617079,6,75,76
1668,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Scene from the New York City Race Riot of 1900..jpg",0,89.32%,100%,2537593,6,76,76
1946,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting African Americans being attacked during the Memphis Race Riots of 1866..jpg",0,95.10%,100%,1288569,6,77,17
2224,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting the devastation of the New Orleans Massacre of 1866..jpg",0,93.36%,100%,1665525,6,78,4
2502,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Vigilantes burn record press building in Wilmington Race Riot. 1898..jpg",0,86.37%,100%,3176019,6,79,74
2780,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Hiram Rhodes Revels - First African American member fo the United States Senate in 1870..jpg",0,97.80%,100%,705067,6,80,12
3058,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Shirley Chisholm - First African American woman elected to the House of Representatives in 1968..jpg",0,95.06%,100%,1297386,6,81,64
3336,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Two terrified African-American girls flee police officers during a race riot in the Bedford-Stuyvesant neighborhood of Brooklyn on July 21, 1964..jpg",0,65.12%,100%,7771124,6,82,66
3614,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Dr. Charles Atkins and family look at the Sante Fe Depot sign requiring racial segregation in Oklahoma City, Oklahoma, 1955..jpg",0,86.58%,100%,3129908,6,83,2
3892,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting Cincinnati Race Riots of 1836..jpg",0,96.28%,100%,1033654,6,84,19
4170,858,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Forming of the NAACP in the early 20th century..jpg",0,92.98%,100%,1746343,6,85,18
4448,858,277,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Demonstrators hold signs and join hands during the March on Washington on August 28, 1963..jpg",0,97.36%,100%,799363,6,86,51
4725,858,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Two young girls join hands while riding the bus together during the initial phases of the integration of the school system in Boston, Massachusetts. September 15, 1975..jpg",0,91.14%,100%,2145139,6,87,70
5001,858,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Demonstrators hold signs and join hands during the March on Washington on August 28, 1963..jpg",0,95.48%,100%,1206078,6,88,51
5277,858,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\A mob beats Freedom Riders who've arrived at the bus station in Birmingham, Alabama. May 1961..jpg",0,92.03%,100%,1951594,6,89,57
5553,858,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Police subdue a rioter during the third night of race riots in Paterson, New Jersey. August 14, 1964..jpg",0,92.65%,100%,1818421,6,90,22
5829,858,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting the devastation of the New Orleans Massacre of 1866..jpg",0,93.85%,100%,1559026,6,91,4
6105,858,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Demonstrators rally in support of jailed civil rights leader Wally Nelson. Location unspecified. Circa 1965..jpg",0,87.92%,60%,2840908,6,92,53
0,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Demonstrators rally in support of jailed civil rights leader Wally Nelson. Location unspecified. Circa 1965..jpg",0,87.50%,60%,2931653,6,93,53
278,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\On May 29, 1968, Washington D.C. police tussle with a demonstrator of the Poor Peoples Campaign for civil rights and poverty relief during a protest at The Supreme Court..jpg",0,92.32%,100%,1888555,6,94,36
556,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Police subdue a man during the Watts riots in Los Angeles. August 1965..jpg",0,90.90%,100%,2197469,6,95,32
834,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\On May 29, 1968, Washington D.C. police tussle with a demonstrator of the Poor Peoples Campaign for civil rights and poverty relief during a protest at The Supreme Court..jpg",0,93.24%,100%,1690673,6,96,36
1112,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Police carry a young woman into a patrol wagon during a civil rights demonstration in Brooklyn, New York. 1963..jpg",0,89.86%,100%,2421447,6,97,29
1390,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Two young girls join hands while riding the bus together during the initial phases of the integration of the school system in Boston, Massachusetts. September 15, 1975..jpg",0,91.58%,100%,2049178,6,98,70
1668,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\On May 29, 1968, Washington D.C. police tussle with a demonstrator of the Poor Peoples Campaign for civil rights and poverty relief during a protest at The Supreme Court..jpg",0,94.13%,100%,1498580,6,99,36
1946,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Police carry a young woman into a patrol wagon during a civil rights demonstration in Brooklyn, New York. 1963..jpg",0,91.18%,100%,2136146,6,100,29
2224,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Hiram Rhodes Revels - First African American member fo the United States Senate in 1870..jpg",0,96.68%,100%,946365,6,101,12
2502,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Two terrified African-American girls flee police officers during a race riot in the Bedford-Stuyvesant neighborhood of Brooklyn on July 21, 1964..jpg",0,65.18%,100%,7759494,6,102,66
2780,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Hiram Rhodes Revels - First African American member fo the United States Senate in 1870..jpg",0,97.95%,100%,672079,6,103,12
3058,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Shirley Chisholm - First African American woman elected to the House of Representatives in 1968..jpg",0,93.79%,100%,1570791,6,104,64
3336,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\A young black man drinking from a segregated drinking fountain in the mid 20th century..jpg",0,69.59%,100%,6805626,6,105,45
3614,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Hiram Rhodes Revels - First African American member fo the United States Senate in 1870..jpg",0,97.57%,100%,754927,6,106,12
3892,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting Cincinnati Race Riots of 1836..jpg",0,96.97%,100%,884601,6,107,19
4170,1144,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\The George Floyd mural at 38th in Chicago in summer 2020..jpg",0,97.67%,100%,732229,6,108,68
4448,1144,277,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Two young girls join hands while riding the bus together during the initial phases of the integration of the school system in Boston, Massachusetts. September 15, 1975..jpg",0,93.21%,100%,1697826,6,109,70
4725,1144,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Demonstrators hold signs and join hands during the March on Washington on August 28, 1963..jpg",0,95.25%,100%,1256039,6,110,51
5001,1144,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\A mob beats Freedom Riders who've arrived at the bus station in Birmingham, Alabama. May 1961..jpg",0,90.41%,100%,2302901,6,111,57
5277,1144,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Shirley Chisholm - First African American woman elected to the House of Representatives in 1968..jpg",0,89.66%,100%,2465547,6,112,64
5553,1144,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Three demonstrators join hands to build strength against the force of water sprayed by riot police in Birmingham, Alabama, during a protest of segregation practices. May 4, 1963..jpg",0,91.11%,100%,2150577,6,113,77
5829,1144,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Anti Civil War draft rioters at Lexington Avenue in New York, 1863..jpg",0,95.72%,100%,1153670,6,114,46
